quote_id,rfq_id,supplier_id,supplier_name,region,reliability_score,material_name,category,quantity,unit,unit_price,currency,lead_time_days
Q-RFQ-1001-buildtech-1,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Paint Supplies,Paint,150,ton,28.82,USD,14
Q-RFQ-1001-buildtech-2,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Interior Paint,Paint,371,sq_ft,38.1,USD,12
Q-RFQ-1001-buildtech-3,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Breaker Panel,Electrical,41,yd3,56.61,USD,13
Q-RFQ-1001-buildtech-4,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Steel Rebar,Steel,283,sq_ft,787.33,USD,14
Q-RFQ-1001-buildtech-5,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Conduit,Electrical,391,sq_ft,47.24,USD,28
Q-RFQ-1001-buildtech-6,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Rebar Grade 60,Steel,326,ea,846.84,USD,29
Q-RFQ-1001-buildtech-7,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Sheetrock,Drywall,413,ton,16.19,USD,35
Q-RFQ-1001-buildtech-8,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Pipe Fittings,Plumbing,167,ton,88.0,USD,18
Q-RFQ-1001-buildtech-9,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Gypsum Board,Drywall,77,yd3,19.09,USD,21
Q-RFQ-1001-buildtech-10,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Cement Blend,Concrete,458,ea,165.5,USD,24
Q-FILL-2396,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Exterior Coating,Paint,150,ton,380.32,USD,11
Q-FILL-2401,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Steel Plate,Steel,326,ea,234.66,USD,32
